dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandAverageTemperaturePlusUncertainty,LandAverageTemperatureMinusUncertainty
1773-08-01,13.624,1.162,14.786000000000001,12.462
1773-09-01,12.488,1.676,14.164,10.812
1773-10-01,9.206,1.874,11.08,7.331999999999999
1773-11-01,3.3689999999999998,4.817,8.186,-1.4480000000000004
1773-12-01,5.090999999999998,3.787,8.877999999999998,1.3039999999999985
1774-01-01,-0.3249999999999997,4.5569999999999995,4.232,-4.881999999999999
1774-02-01,4.914,5.124,10.038,-0.20999999999999996
1774-03-01,5.643,2.779,8.422,2.864
1774-04-01,10.152999999999999,3.8489999999999998,14.001999999999999,6.3039999999999985
1774-05-01,16.025,2.535,18.56,13.489999999999998
1774-06-01,15.370999999999999,3.891,19.262,11.479999999999999
1774-07-01,16.521,3.806,20.327,12.715
1774-08-01,14.099,1.9469999999999998,16.046,12.152000000000001
1774-09-01,10.936,2.115,13.051,8.821
1774-10-01,8.59,2.625,11.215,5.965
1774-11-01,3.029,4.4830000000000005,7.5120000000000005,-1.4540000000000006
1774-12-01,0.31000000000000005,3.2710000000000004,3.5810000000000004,-2.9610000000000003
1775-01-01,4.261,3.435,7.696,0.8260000000000001
1775-02-01,6.4270000000000005,3.139,9.566,3.2880000000000007
1775-03-01,7.758999999999999,2.394,10.152999999999999,5.364999999999998
1775-04-01,7.951999999999999,1.538,9.489999999999998,6.413999999999999
1775-05-01,11.399,1.8459999999999999,13.245,9.552999999999999
1775-06-01,12.314,2.805,15.119,9.509
1775-07-01,14.719,1.058,15.777,13.661
1775-08-01,14.435,1.093,15.528,13.342
1775-09-01,11.095999999999998,1.459,12.554999999999998,9.636999999999999
1775-10-01,10.372,2.116,12.488,8.256
1775-11-01,8.179,4.56,12.739,3.6190000000000007
1775-12-01,1.2839999999999998,2.404,3.6879999999999997,-1.12
1776-01-01,-0.8059999999999999,4.467,3.6609999999999996,-5.273
1776-02-01,4.825,3.762,8.587,1.0630000000000002
1776-03-01,4.652,2.388,7.04,2.2640000000000002
1776-04-01,7.439999999999999,1.4040000000000001,8.844,6.035999999999999
