datetime,datenum,year,month,day,data_mean_global,data_mean_nh,data_mean_sh
1687-04-15,616270,1687,4,15,278.333384185285,279.880377849845,276.786390520726
1687-05-15,616300,1687,5,15,278.27567600095904,279.782725827636,276.768626174283
1687-06-15,616331,1687,6,15,277.542022474193,278.26742504883,276.81661989955603
1687-07-15,616361,1687,7,15,275.90139689659304,274.985304502983,276.817489290203
1687-08-15,616392,1687,8,15,274.297909132977,271.923856939295,276.671961326659
1687-09-15,616423,1687,9,15,274.257189376496,272.020752119326,276.493626633666
1687-10-15,616453,1687,10,15,275.292922120229,274.12880192716597,276.457042313292
1687-11-15,616484,1687,11,15,276.29608098356397,276.006651234404,276.58551073272497
1687-12-15,616514,1687,12,15,276.931690034555,277.247871923391,276.615508145719
1688-01-15,616545,1688,1,15,277.39024241078897,278.069462354118,276.71102246746
1688-02-15,616576,1688,2,15,277.77119753210604,278.723537766192,276.818857298019
1688-03-15,616605,1688,3,15,278.110934472746,279.363878127308,276.857990818185
1688-04-15,616636,1688,4,15,278.349291731001,279.896285395561,276.802298066441
1688-05-15,616666,1688,5,15,278.291316853326,279.798366680003,276.78426702665
1688-06-15,616697,1688,6,15,277.557277067504,278.282679642141,276.83187449286703
1688-07-15,616727,1688,7,15,275.916111099789,275.000018706179,276.832203493399
1688-08-15,616758,1688,8,15,274.311894249644,271.937842055962,276.685946443326
1688-09-15,616789,1688,9,15,274.270222144866,272.033784887696,276.506659402036
1688-10-15,616819,1688,10,15,275.30474471751,274.140624524447,276.468864910573
1688-11-15,616850,1688,11,15,276.30642249197,276.01699274281003,276.59585224113096
1688-12-15,616880,1688,12,15,276.940345228764,277.256527117599,276.62416333992803
1689-01-15,616911,1689,1,15,277.39709009032697,278.076310033656,276.717870146998
1689-02-15,616942,1689,2,15,277.776200521349,278.728540755435,276.823860287262
1689-03-15,616970,1689,3,15,278.114139620918,279.36708327547996,276.861195966357
1689-04-15,617001,1689,4,15,278.350829912174,279.897823576734,276.80383624761504
1689-05-15,617031,1689,5,15,278.29140296642004,279.798452793097,276.784353139744
1689-06-15,617062,1689,6,15,277.55621003629,278.281612610927,276.83080746165297
1689-07-15,617092,1689,7,15,275.914273872884,274.99818147927397,276.83036626649397
1689-08-15,617123,1689,8,15,274.309753800514,271.935701606832,276.683805994196
1689-09-15,617154,1689,9,15,274.26832947182703,272.031892214657,276.504766728997
1689-10-15,617184,1689,10,15,275.303734843725,274.139614650662,276.46785503678797
1689-11-15,617215,1689,11,15,276.30698139036303,276.017551641203,276.596411139524
1689-12-15,617245,1689,12,15,276.94305347320096,277.25923536203703,276.626871584365
1690-01-15,617276,1690,1,15,277.402375973162,278.08159591649104,276.723156029833
1690-02-15,617307,1690,2,15,277.784340034352,278.736680268438,276.831999800265
1690-03-15,617335,1690,3,15,278.125256455278,279.37820010983995,276.872312800717
1690-04-15,617366,1690,4,15,278.364895458496,279.91188912305597,276.817901793937
1690-05-15,617396,1690,5,15,278.308236314726,279.815286141403,276.80118648805
