,datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
11410,347300,950,11,15,15-Nov-0950 00:00:00,278.247439437555,277.958009688395,278.536869186716
11411,347330,950,12,15,15-Dec-0950 00:00:00,278.881388351935,279.19757024077006,278.565206463099
11412,347361,951,1,15,15-Jan-0951 00:00:00,279.338256576348,280.017476519677,278.659036633019
11413,347392,951,2,15,15-Feb-0951 00:00:00,279.717564643576,280.669904877662,278.765224409489
11414,347420,951,3,15,15-Mar-0951 00:00:00,280.05575274079797,281.30869639536,278.802809086237
11415,347451,951,4,15,15-Apr-0951 00:00:00,280.292720479244,281.83971414380403,278.74572681468396
11416,347481,951,5,15,15-May-0951 00:00:00,280.23357651831003,281.740626344987,278.726526691634
11417,347512,951,6,15,15-Jun-0951 00:00:00,279.49864919871897,280.224051773356,278.773246624082
11418,347542,951,7,15,15-Jul-0951 00:00:00,277.856937832057,276.940845438447,278.773030225667
11419,347573,951,8,15,15-Aug-0951 00:00:00,276.25255259060003,273.878500396918,278.626604784282
11420,347604,951,9,15,15-Sep-0951 00:00:00,276.21108720744996,273.97464995028,278.44752446462
11421,347634,951,10,15,15-Oct-0951 00:00:00,277.246186892327,276.082066699264,278.41030708539
11422,347665,951,11,15,15-Nov-0951 00:00:00,278.24879344315497,277.95936369399504,278.538223192316
11423,347695,951,12,15,15-Dec-0951 00:00:00,278.883921877413,279.200103766249,278.567739988577
11424,347726,952,1,15,15-Jan-0952 00:00:00,279.342060610356,280.021280553685,278.662840667027
11425,347757,952,2,15,15-Feb-0952 00:00:00,279.722664339493,280.675004573579,278.770324105406
11426,347786,952,3,15,15-Mar-0952 00:00:00,280.062107416732,281.31505107129396,278.809163762171
11427,347817,952,4,15,15-Apr-0952 00:00:00,280.30022361803395,281.847217282594,278.75322995347403
11428,347847,952,5,15,15-May-0952 00:00:00,280.242055767522,281.74910559419897,278.735005940846
11429,347878,952,6,15,15-Jun-0952 00:00:00,279.50786637064897,280.233268945286,278.782463796012
11430,347908,952,7,15,15-Jul-0952 00:00:00,277.866589667279,276.950497273669,278.782682060889
11431,347939,952,8,15,15-Aug-0952 00:00:00,276.262319505524,273.888267311842,278.636371699206
11432,347970,952,9,15,15-Sep-0952 00:00:00,276.220712103399,273.98427484622897,278.457149360569
11433,348000,952,10,15,15-Oct-0952 00:00:00,277.25548245735,276.091362264287,278.419602650413
11434,348031,952,11,15,15-Nov-0952 00:00:00,278.257642152027,277.96821240286704,278.547071901188
11435,348061,952,12,15,15-Dec-0952 00:00:00,278.892275991635,279.20845788047,278.576094102799
11436,348092,953,1,15,15-Jan-0953 00:00:00,279.349942178156,280.029162121485,278.670722234827
11437,348123,953,2,15,15-Feb-0953 00:00:00,279.730165195826,280.682505429912,278.77782496174
11438,348151,953,3,15,15-Mar-0953 00:00:00,280.06938918328,281.322332837842,278.816445528719
11439,348182,953,4,15,15-Apr-0953 00:00:00,280.307517703203,281.854511367763,278.760524038644
11440,348212,953,5,15,15-May-0953 00:00:00,280.249663366447,281.756713193124,278.742613539771
11441,348243,953,6,15,15-Jun-0953 00:00:00,279.51615846518996,280.241561039827,278.79075589055304
